RegionName,StateName,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
California,CA,162000.916666667,165169.636363636,177919.666666667,193971.75,217617.166666667,248105.333333333,279231,325640.5,396840.25,482146.916666667,527045.333333333,504076.75,411530.583333333,336433.416666667,334473.416666667,315276.833333333,313847.333333333,374145.583333333,421925.333333333,446702.75,479285.333333333,512886.5,551034.333333333,559552.583333333,590747.666666667,631567
Texas,TX,98178.1666666667,99679.0909090909,102586.833333333,107029.166666667,111518.75,112954.333333333,115652.916666667,119019.083333333,125772.416666667,131644,136210.833333333,141410,140768.916666667,137590.75,136872.75,132375.333333333,133258.833333333,140755.416666667,151689.583333333,163433.416666667,174804.166666667,186446.416666667,197383.25,206778.166666667,215068.916666667,227003.5
New York,NY,137707.5,139182.272727273,143610.083333333,150921.833333333,162804.916666667,176118.666666667,192037.083333333,212330.75,234785,261423.25,283140.416666667,287566.333333333,283198.333333333,268208.166666667,264224.416666667,257187.583333333,252517,257444.5,265390.416666667,271386.333333333,279683.416666667,292906.25,309636.833333333,322041.083333333,333402.833333333,351464.5
Florida,FL,101255.166666667,103478.636363636,107311.75,111461.833333333,118207.916666667,128194.583333333,141214.25,157662.166666667,180644.5,223819.916666667,268858.416666667,258905.916666667,213918,170242.583333333,154682.5,140375.083333333,140356.25,156962.333333333,174650.833333333,187533.916666667,203714.5,219432.416666667,234458,244746.75,256808.75,271699.5
Illinois,IL,141639.583333333,141218.727272727,132178.083333333,142575.416666667,152736.583333333,164801.833333333,177131.833333333,189953.583333333,204492.75,221349,235569.666666667,237394.833333333,223266.833333333,197480.583333333,184575.5,168255.666666667,157864.416666667,163803.416666667,173846.916666667,179238.5,186179.5,195679.5,203494.5,207458.083333333,212212.083333333,222413.5
Pennsylvania,PA,96108.8333333333,97529.2727272727,99814.5,102161.833333333,106737.833333333,112409.25,119371.333333333,129083.75,141395.166666667,157239.25,171098.083333333,176686.583333333,175309.666666667,169163.166666667,168345,160974.5,157460.166666667,159168.333333333,161923.833333333,164596.583333333,168834.083333333,175541.333333333,185152.166666667,193046.583333333,203202.25,216743
Ohio,OH,93917.9166666667,97637.4545454545,101549.25,105619,110749.833333333,115660.333333333,119396.583333333,123624.916666667,128057.333333333,132027.666666667,134362.833333333,132974.5,128603.166666667,122087.416666667,119020,113107.583333333,110110.25,111964.75,114460.916666667,118823.75,124091.416666667,131730.916666667,140448.25,148781.916666667,158511.5,169528
Michigan,MI,94636,102132,109284.5,117375.416666667,126985.75,135429.5,141361.416666667,146069.916666667,151489.083333333,155701.5,156158.166666667,148489.5,133005.333333333,112639.75,104481.5,97977.9166666667,99195.5,110347.75,123112.75,130230.416666667,138756.333333333,150236.75,162809.666666667,172509.333333333,182575.75,194958
Georgia,GA,105687.666666667,110862.454545455,117303.083333333,124624.333333333,133697.166666667,143372.833333333,149951.583333333,154351.916666667,158967,164884.083333333,171472,175220.75,168173.583333333,150732.416666667,140322.833333333,126912,123316.583333333,133202.583333333,146013.166666667,154709.333333333,164056.75,174807.5,190070.833333333,202471.75,213861.083333333,227333.5
North Carolina,NC,113264.75,119508.545454545,124545.416666667,129549.333333333,135127.416666667,140411.583333333,143359.083333333,146128.25,150028.833333333,156301.916666667,165838.166666667,174047.083333333,175044.25,167693.833333333,162017.666666667,154490.916666667,150551.416666667,153080.166666667,157777.583333333,162592.083333333,169625,180051.75,192120.666666667,203422.333333333,215768.333333333,229714.5
New Jersey,NJ,162017.833333333,164543.909090909,168993.5,177972.333333333,193441,213918.666666667,240920.833333333,277979.916666667,316203.583333333,362381.083333333,397021.5,391268.333333333,366489.166666667,335611.833333333,323777.916666667,302480.583333333,286875.666666667,291614.5,303048.416666667,305850.833333333,308982.833333333,317896.083333333,331706.416666667,339062.5,353278.333333333,379721
Virginia,VA,120581.75,121930.272727273,124796.583333333,129527.583333333,138284.75,149955.833333333,164294,182200.25,212005.833333333,257135.083333333,286502.25,284363.833333333,263652.333333333,242949.916666667,238657.583333333,230472.916666667,229540.083333333,237922.333333333,245053.916666667,248607.75,253441.666666667,262720.916666667,271771.916666667,282125.333333333,294859,310505.5
Washington,WA,141459.416666667,148392.727272727,158095.416666667,168405.916666667,179489.25,188625.916666667,196533.75,206041.583333333,224338.416666667,257916.25,300973.666666667,320466.333333333,304469.5,272080.5,256822.666666667,232991.5,225289.25,246411.416666667,264947.333333333,285593.666666667,316182.833333333,352472.916666667,389471.166666667,405313.333333333,439862.75,475021.5
Massachusetts,MA,155186.833333333,160968.272727273,173339.416666667,192679.333333333,217686.416666667,251382.333333333,285825.583333333,324014.25,356270.5,385742.666666667,384588.083333333,366308.333333333,343625.083333333,321259,322877,310353.166666667,303652.583333333,322644.25,340067,353180.166666667,370107.833333333,391579.083333333,414599.666666667,424084,445445.583333333,478036
Indiana,IN,109712.416666667,105676.818181818,106730.166666667,105558.5,102026.5,105698.25,107307.5,109035.916666667,111960.083333333,118151.666666667,121032.916666667,122766.916666667,122297.166666667,118893.166666667,117366.083333333,113984.166666667,113378.75,115045.166666667,118955.5,122604,127302.333333333,134725.25,144441.583333333,153959.083333333,163581.583333333,173908.5
Arizona,AZ,109719.583333333,114570.090909091,119732.916666667,126376.25,134291.166666667,141807.083333333,149038.916666667,157711.5,172468.833333333,224183,272890.416666667,260786.75,216606.333333333,173475.25,157070.833333333,139206,149458,176005.083333333,190651.416666667,200076.75,213340,228064.5,245482.166666667,260209.333333333,286148.083333333,316963
Tennessee,TN,93518.6666666667,98402.8181818182,103197.166666667,106761.083333333,110582.166666667,114379.083333333,117037.083333333,119939.333333333,124167.666666667,131343.083333333,140268.666666667,146117.833333333,143984.583333333,138179.75,135292.583333333,130463.5,129001.916666667,132186.416666667,137437.333333333,142811.75,151232.666666667,162253,174520.5,184979.083333333,198102.25,211105.5
Missouri,MO,85134.9166666667,88179.4545454545,91416.9166666667,95674.0833333333,101181.75,108346.666666667,115672.083333333,122833,129497.5,135940.416666667,141514.083333333,143426.833333333,140146.083333333,134351.75,131290.666666667,123496.666666667,120870.916666667,123683.75,127483.333333333,131832.666666667,138286.916666667,146493.333333333,155305.416666667,163040.166666667,171592.833333333,182125
Maryland,MD,151701.333333333,152387.272727273,154104.416666667,157904.083333333,165171.833333333,175604.666666667,193503.5,219920.25,257164.666666667,312350.583333333,358186.416666667,362036.416666667,331554.333333333,290392.416666667,274887.666666667,258589.916666667,252759.666666667,265263,276779.333333333,278728.083333333,284825.083333333,295633.583333333,306233.833333333,312732.083333333,323338.083333333,343948.5
Wisconsin,WI,98754.8333333333,103242.818181818,106532.416666667,112015.916666667,118321.25,124968.5,131786.833333333,139946.333333333,151525.75,162778.083333333,169399.166666667,170895.333333333,166593.25,157335.666666667,153321.916666667,142833.916666667,138916.916666667,141689.916666667,147775.166666667,151856.416666667,158713.083333333,169395.916666667,181146.916666667,190977.833333333,202709.333333333,215743
