Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Country,United States,,,,2/28/2022,11.4
Msa,"Aberdeen, SD",SD,,,2/28/2022,7.6
Msa,"Aberdeen, WA",WA,,,2/28/2022,17.9
Msa,"Abilene, TX",TX,,,2/28/2022,3.7
Msa,"Ada, OK",OK,,,2/28/2022,7.6
Msa,"Adrian, MI",MI,,,2/28/2022,7.8
Msa,"Akron, OH",OH,,,2/28/2022,7.7
Msa,"Alamogordo, NM",NM,,,2/28/2022,5.9
Msa,"Albany, GA",GA,,,2/28/2022,3.6
Msa,"Albany, NY",NY,,,2/28/2022,15.3
Msa,"Albany, OR",OR,,,2/28/2022,10.8
Msa,"Albemarle, NC",NC,,,2/28/2022,11
Msa,"Albert Lea, MN",MN,,,2/28/2022,4.4
Msa,"Albertville, AL",AL,,,2/28/2022,13.1
Msa,"Albuquerque, NM",NM,,,2/28/2022,14.3
Msa,"Alexandria, LA",LA,,,2/28/2022,3.8
Msa,"Alexandria, MN",MN,,,2/28/2022,9
Msa,"Alice, TX",TX,,,2/28/2022,5.7
Msa,"Allentown, PA",PA,,,2/28/2022,12.4
Msa,"Alma, MI",MI,,,2/28/2022,8.2
Msa,"Alpena, MI",MI,,,2/28/2022,6.4
Msa,"Altoona, PA",PA,,,2/28/2022,7.6
Msa,"Altus, OK",OK,,,2/28/2022,6.6
Msa,"Amarillo, TX",TX,,,2/28/2022,12.2
Msa,"Americus, GA",GA,,,2/28/2022,1.3
Msa,"Ames, IA",IA,,,2/28/2022,3.1
Msa,"Amsterdam, NY",NY,,,2/28/2022,9.2
Msa,"Anchorage, AK",AK,,,2/28/2022,-1.2
Msa,"Andrews, TX",TX,,,2/28/2022,8.5
Msa,"Angola, IN",IN,,,2/28/2022,7.5
Msa,"Ann Arbor, MI",MI,,,2/28/2022,5
Msa,"Anniston, AL",AL,,,2/28/2022,-3.9
Msa,"Appleton, WI",WI,,,2/28/2022,9.5
Msa,"Arcadia, FL",FL,,,2/28/2022,9.6
Msa,"Ardmore, OK",OK,,,2/28/2022,-7.8
Msa,"Arkadelphia, AR",AR,,,2/28/2022,1.9
Msa,"Arkansas City-Winfield, KS",KS,,,2/28/2022,7.3
Msa,"Asheville, NC",NC,,,2/28/2022,17.6
Msa,"Ashland, OH",OH,,,2/28/2022,7.6
Msa,"Ashtabula, OH",OH,,,2/28/2022,9.3
Msa,"Astoria, OR",OR,,,2/28/2022,21.2
Msa,"Atchison, KS",KS,,,2/28/2022,4.3
Msa,"Athens, GA",GA,,,2/28/2022,7.7
Msa,"Athens, OH",OH,,,2/28/2022,6.7
Msa,"Athens, TN",TN,,,2/28/2022,9.4
Msa,"Athens, TX",TX,,,2/28/2022,10
Msa,"Atlanta, GA",GA,,,2/28/2022,13.4
Msa,"Atlantic City, NJ",NJ,,,2/28/2022,5.2
Msa,"Auburn, AL",AL,,,2/28/2022,6.4
Msa,"Auburn, IN",IN,,,2/28/2022,12.2
Msa,"Auburn, NY",NY,,,2/28/2022,5.4
Msa,"Augusta, GA",GA,,,2/28/2022,10.9
Msa,"Augusta, ME",ME,,,2/28/2022,19.3
Msa,"Austin, MN",MN,,,2/28/2022,9.1
Msa,"Austin, TX",TX,,,2/28/2022,10.6
Msa,"Bainbridge, GA",GA,,,2/28/2022,4.2
Msa,"Bakersfield, CA",CA,,,2/28/2022,12.6
Msa,"Baltimore, MD",MD,,,2/28/2022,8.9
Msa,"Bangor, ME",ME,,,2/28/2022,17.9
Msa,"Baraboo, WI",WI,,,2/28/2022,9
Msa,"Bardstown, KY",KY,,,2/28/2022,7.6
Msa,"Barnstable Town, MA",MA,,,2/28/2022,20.9
Msa,"Barre, VT",VT,,,2/28/2022,11.1
